2025-11-02 20:49:56.074 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:772ms 登录成功
2025-11-02 20:49:56.166 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-02 20:49:56.340 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:33ms 获取用户上传文件成功
2025-11-02 21:05:52.941 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:176ms 登录成功
2025-11-02 21:05:52.995 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-02 21:05:53.125 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:21ms 获取用户信息成功
2025-11-02 21:05:54.297 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:59ms 获取对话历史成功（空结果）
2025-11-02 21:05:58.653 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2025-11-02 21:06:04.205 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:93ms 获取用户信息成功
2025-11-02 21:06:04.324 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-02 21:06:04.574 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:30ms 获取对话历史成功（空结果）
2025-11-02 21:35:36.156 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2025-11-02 21:35:36.245 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-02 21:35:36.424 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:40ms 获取对话历史成功（空结果）
2025-11-02 22:11:13.634 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-02 22:11:13.688 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-02 22:11:13.841 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:15ms 获取对话历史成功（空结果）
2025-11-02 22:22:52.742 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-02 22:22:52.775 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-02 22:22:52.972 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:19ms 获取对话历史成功（空结果）
